type,memory,time
Sequential,CPU,0.003000
Normal,ZeroCpy,0.023456
Shared,ZeroCpy,0.012704
Ldg,ZeroCpy,0.012000
Texture,ZeroCpy,0.011200
Normal,MemCpy,0.008064
Shared,MemCpy,0.010496
Ldg,MemCpy,0.009472
